ingest_ts,run_id,screen_batch,strategy_id,source_file,translated,is_sharpe,deflated_sharpe,max_drawdown,turnover,oos_years_decay,cluster_id,verdict,verdict_reason,screened_at,notes,num_trials
2026-09-14 19:24:55.632000+00:00,SCR-C4-20260915-032455,C4-BACKLOG3-20260915,CAND-0319395c57a7,scripts/backtest/translated/c4_backlog3_mclean_screen.py,1,0.418,0.0018,-0.0713,0.049,,,translated_c4,c4_batch_screen,2026-09-15 03:24:55+08:00,window=2020-01-01/2023-12-31; kind=stock,14
2026-09-15 03:24:09.407000+00:00,SCR-C4-20260915-112409,C4-translated-20260912,CAND-0319395c57a7,scripts/backtest/translated/c4_backlog3_mclean_screen.py,1,0.58,0.0047,-0.0654,0.049,,,translated_c4,c4_batch_screen,2026-09-15 11:24:09+08:00,window=2020-01-01/2023-12-31; kind=stock,33
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-06d4cf3d7dcc,scripts/backtest/translated/c4_06d4cf3d7dcc_pairs_zscore.py,1,-0.061,0.0001,-0.4528,0.0098,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-091fee38cd01,scripts/backtest/translated/c4_091fee38cd01_alpha022.py,1,-0.395,0.0,-0.2228,0.049,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-097532e34002,scripts/backtest/translated/pilot_003_zscore_meanrev,1,-0.06,0.0001,,,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-12286499cb19,scripts/backtest/translated/c4_12286499cb19_rsrs_60m.py,1,-0.364,0.0,-0.393,0.0155,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=index,35
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-14d3e787ea4b,scripts/backtest/translated/c4_14d3e787ea4b_cgo_factor.py,1,0.0,0.0001,0.0,0.0,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-1970782c2adb,scripts/backtest/translated/c4_1970782c2adb_ma_pullback.py,1,0.0,0.0001,0.0,0.0,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-13 20:52:26.182000+00:00,SCR-C4-20260914-045225,C4-translated-20260912,CAND-21af8c66c15e,scripts/backtest/translated/c4_21af8c66c15e_small_cap.py,1,-1.218,0.0,-0.8537,0.3873,,,translated_c4,c4_batch_screen,2026-09-14 04:52:25+08:00,window=2020-01-01/2023-12-31; kind=stock,2
2026-09-13 19:49:27.692000+00:00,SCR-C4-20260914-034927,C4-translated-20260912,CAND-25028ae0c266,scripts/backtest/translated/c4_25028ae0c266_high_div5y.py,1,-1.7429999999999999,0.0,-0.3436,0.2077,,,translated_c4,c4_batch_screen,2026-09-14 03:49:27+08:00,window=2020-01-01/2023-12-31; kind=stock,6
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-29eb91dbaf60,scripts/backtest/translated/c4_29eb91dbaf60_crash_dodge.py,1,0.037,0.0002,-0.3431,0.0036,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=index,35
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-2b351fd05d5f,scripts/backtest/translated/c4_2b351fd05d5f_ultrashort_lowopen.py,1,-0.673,0.0,-0.7672,0.484,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-2e4d39a3f50b,scripts/backtest/translated/c4_2e4d39a3f50b_multi_ma.py,1,0.268,0.0009,-0.5206,0.0155,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-13 19:49:27.692000+00:00,SCR-C4-20260914-034927,C4-translated-20260912,CAND-311220235636,scripts/backtest/translated/c4_311220235636_zulu_value.py,1,-0.485,0.0,-0.119,0.0196,,,translated_c4,c4_batch_screen,2026-09-14 03:49:27+08:00,window=2020-01-01/2023-12-31; kind=stock,6
2026-09-14 00:21:30.461000+00:00,SCR-C4-20260914-082130,C4-translated-20260912,CAND-311220235636,scripts/backtest/translated/c4_311220235636_slater_value.py,1,-0.03,0.0001,-0.3533,0.0238,,,translated_c4,c4_batch_screen,2026-09-14 08:21:30+08:00,window=2020-01-01/2023-12-31; kind=stock,3
2026-09-14 19:24:55.632000+00:00,SCR-C4-20260915-032455,C4-BACKLOG3-20260915,CAND-3238a5ce80c8,scripts/backtest/translated/c4_backlog3_novice_value5.py,1,-1.591,0.0,-0.4438,0.2077,,,translated_c4,c4_batch_screen,2026-09-15 03:24:55+08:00,window=2020-01-01/2023-12-31; kind=stock,14
2026-09-15 03:24:09.407000+00:00,SCR-C4-20260915-112409,C4-translated-20260912,CAND-3238a5ce80c8,scripts/backtest/translated/c4_backlog3_novice_value5.py,1,-1.411,0.0,-0.4378,0.2077,,,translated_c4,c4_batch_screen,2026-09-15 11:24:09+08:00,window=2020-01-01/2023-12-31; kind=stock,33
2026-09-14 19:24:55.632000+00:00,SCR-C4-20260915-032455,C4-BACKLOG3-20260915,CAND-347a7638d04b,scripts/backtest/translated/c4_backlog3_roe_up_pb_low.py,1,-0.531,0.0,-0.0845,0.049,,,translated_c4,c4_batch_screen,2026-09-15 03:24:55+08:00,window=2020-01-01/2023-12-31; kind=stock,14
2026-09-15 03:24:09.407000+00:00,SCR-C4-20260915-112409,C4-translated-20260912,CAND-347a7638d04b,scripts/backtest/translated/c4_backlog3_roe_up_pb_low.py,1,-0.52,0.0,-0.0829,0.049,,,translated_c4,c4_batch_screen,2026-09-15 11:24:09+08:00,window=2020-01-01/2023-12-31; kind=stock,33
2026-09-14 19:24:55.632000+00:00,SCR-C4-20260915-032455,C4-BACKLOG3-20260915,CAND-38cceabf3946,scripts/backtest/translated/c4_backlog3_mclean_rev_accel.py,1,-0.683,0.0,-0.1494,0.049,,,translated_c4,c4_batch_screen,2026-09-15 03:24:55+08:00,window=2020-01-01/2023-12-31; kind=stock,14
2026-09-15 03:24:09.407000+00:00,SCR-C4-20260915-112409,C4-translated-20260912,CAND-38cceabf3946,scripts/backtest/translated/c4_backlog3_mclean_rev_accel.py,1,-0.647,0.0,-0.1494,0.049,,,translated_c4,c4_batch_screen,2026-09-15 11:24:09+08:00,window=2020-01-01/2023-12-31; kind=stock,33
2026-09-13 19:49:27.692000+00:00,SCR-C4-20260914-034927,C4-translated-20260912,CAND-40ca0da1a3ca,scripts/backtest/translated/c4_40ca0da1a3ca_value_improved.py,1,0.246,0.0009,-0.403,0.0058,,,translated_c4,c4_batch_screen,2026-09-14 03:49:27+08:00,window=2020-01-01/2023-12-31; kind=stock,6
2026-09-14 00:21:30.461000+00:00,SCR-C4-20260914-082130,C4-translated-20260912,CAND-40ca0da1a3ca,scripts/backtest/translated/c4_40ca0da1a3ca_value55.py,1,-1.204,0.0,-0.2068,0.0619,,,translated_c4,c4_batch_screen,2026-09-14 08:21:30+08:00,window=2020-01-01/2023-12-31; kind=stock,3
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-4440d07f973f,scripts/backtest/translated/c4_4440d07f973f_ultrashort.py,1,0.07,0.0002,-0.3438,0.3686,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-13 18:34:06.834000+00:00,SCR-C4-20260914-023406,C4-translated-20260912,CAND-4879b2c6f2bb,scripts/backtest/translated/c4_4879b2c6f2bb_div_value.py,1,0.29,0.0,-0.074,0.0485,,,translated_c4,c4_batch_screen,2026-09-14 02:34:06+08:00,window=2020-01-01/2023-12-31; kind=stock,2
2026-09-14 19:24:55.632000+00:00,SCR-C4-20260915-032455,C4-BACKLOG3-20260915,CAND-4da841c734ae,scripts/backtest/translated/c4_backlog3_wiz63_growth_pb2.py,1,-0.592,0.0,-0.4669,0.2077,,,translated_c4,c4_batch_screen,2026-09-15 03:24:55+08:00,window=2020-01-01/2023-12-31; kind=stock,14
2026-09-15 03:24:09.407000+00:00,SCR-C4-20260915-112409,C4-translated-20260912,CAND-4da841c734ae,scripts/backtest/translated/c4_backlog3_wiz63_growth_pb2.py,1,-0.569,0.0,-0.4605,0.2077,,,translated_c4,c4_batch_screen,2026-09-15 11:24:09+08:00,window=2020-01-01/2023-12-31; kind=stock,33
2026-09-13 21:11:02.974000+00:00,SCR-C4-20260914-051102,C4-translated-20260912,CAND-5301c5d9d7c8,scripts/backtest/translated/c4_5301c5d9d7c8_small_cap_hl.py,1,0.518,0.0037,-0.3056,0.097,,,translated_c4,c4_batch_screen,2026-09-14 05:11:02+08:00,window=2020-01-01/2023-12-31; kind=stock,2
2026-09-14 18:53:32.664000+00:00,SCR-C4-20260915-025332,C4-BACKLOG2-20260915,CAND-5e3284032a17,scripts/backtest/translated/c4_backlog2_wiz_largecap.py,1,-1.3,0.0,-0.3389,0.2078,,,translated_c4,c4_batch_screen,2026-09-15 02:53:32+08:00,window=2020-01-01/2023-12-31; kind=stock,2
2026-09-15 03:24:09.407000+00:00,SCR-C4-20260915-112409,C4-translated-20260912,CAND-5e3284032a17,scripts/backtest/translated/c4_backlog2_wiz_largecap.py,1,-1.3,0.0,-0.3389,0.2078,,,translated_c4,c4_batch_screen,2026-09-15 11:24:09+08:00,window=2020-01-01/2023-12-31; kind=stock,33
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-5efe26d1992e,scripts/backtest/translated/c4_5efe26d1992e_rsrs_timing.py,1,-0.523,0.0,-0.3536,0.017,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=index,35
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-6485e4cd0844,scripts/backtest/translated/c4_6485e4cd0844_kdj_timing.py,1,-0.058,0.0001,-0.1788,0.016,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=index,35
2026-09-13 23:07:06.564000+00:00,SCR-C4-20260914-070706,C4-translated-20260912,CAND-65ae80c577c9,scripts/backtest/translated/c4_65ae80c577c9_small_cap95.py,1,0.225,0.0006,-0.0578,0.049,,,translated_c4,c4_batch_screen,2026-09-14 07:07:06+08:00,window=2020-01-01/2023-12-31; kind=stock,1
2026-09-14 00:21:30.461000+00:00,SCR-C4-20260914-082130,C4-translated-20260912,CAND-68cc0a6b40ba,scripts/backtest/translated/c4_68cc0a6b40ba_value_select35.py,1,-0.42,0.0,-0.1099,0.0464,,,translated_c4,c4_batch_screen,2026-09-14 08:21:30+08:00,window=2020-01-01/2023-12-31; kind=stock,3
2026-09-13 19:49:27.692000+00:00,SCR-C4-20260914-034927,C4-translated-20260912,CAND-68cc0a6b40ba,scripts/backtest/translated/c4_68cc0a6b40ba_value_select.py,1,-0.485,0.0,-0.119,0.0196,,,translated_c4,c4_batch_screen,2026-09-14 03:49:27+08:00,window=2020-01-01/2023-12-31; kind=stock,6
2026-09-12 16:20:57.002000+00:00,SCR-C4-20260913-002056,C4-translated-20260912,CAND-6a6ec8869ddb,scripts/backtest/translated/c4_6a6ec8869ddb_momentum62.py,1,0.727,0.0133,-0.3889,0.2342,,,translated_c4,c4_batch_screen,2026-09-13 00:20:56+08:00,window=2020-01-01/2023-12-31; kind=stock,35
2026-09-14 19:24:55.632000+00:00,SCR-C4-20260915-032455,C4-BACKLOG3-20260915,CAND-6ba459329476,scripts/backtest/translated/c4_backlog3_value_roa5.py,1,-0.215,0.0,-0.0436,0.0103,,,translated_c4,c4_batch_screen,2026-09-15 03:24:55+08:00,window=2020-01-01/2023-12-31; kind=stock,14
