file_path,module_id,blueprint_id,domain_id,subdomain_id,match_method,confidence
src/zephyr/__init__.py,,MOD-INF-002,D-INFRA,D-INFRA-RUNTIME_INTEGRATION,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/__init__.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/a2a_check.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/abac_guard.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/adversarial_resilience.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/agent_creation_policy.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/anomaly_detector.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/anti_pattern_guard.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/approver_check.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/asymmetric_audit.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/audit_log_guard.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/auto_maintenance.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/blind_spot_tracker.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/blueprint_fidelity.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/bootstrap_superadmin.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/bootstrap_verifier.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/build_sanitizer.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/cache_invalidation.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/canary_rollout_manager.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/capability_check.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/cascading_failure_isolator.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/cold_start_lock.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/compliance_matrix.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/context_drift_detector.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/continuous_verifier.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/contract_verifier.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/contracts.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/cross_cutting.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/cross_session_detector.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/cybersec_2026_guard.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/decision_explainer.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/decision_registry.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/defense_depth.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/dependency_auditor.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/derive_rbac_roles.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/dry_run.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/emergency_override.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/engine_degradation.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/environment_manager.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/escalation_handler.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/exceptions.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/false_completion_detector.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/genesis_bootstrap.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
src/zephyr/autonomy_perm/agent_rbac/guard_layers.py,,MOD-INF-018,D-SEC,D-SEC-ACCESS_CONTROL,depgraph_blueprint,high
