edge_id,from_node_id,to_node_id,dep_type,architecture_direction,coupling_strength,used_symbol,invocation_method,api_contract_refs,event_ref,ddd_integration_pattern,failure_mode,fallback,activation_condition,data_transfer_description,resource_impact,relationship_type,cross_domain,verified,dep_maturity,valid_since,is_legal_cycle
238060,58,45,runtime,upstream,hard,,,"",,,,,,回滚后跑 G0 门禁验证——Gate Engine 提供门禁执行能力。,,,,,design,2026-05-05,0
238061,58,90,contract,upstream,hard,,,MOD-INF-021 §9 CT-RBK-GATE-001,,,,,,CT-RBK-GATE-001 集成契约——48 exit code 映射到 Gate/Pipeline/Orchestrator。,,,,,design,2026-05-05,0
238063,69,58,runtime,downstream,hard,,,MOD-GOVERNANCE G-CT-005,,,,,,漂移检测触发回滚——DriftEvent → RollbackExecutor 消费，G-CT-005 契约锚定。,,,,,design,2026-05-05,0
238067,69,45,runtime,downstream,hard,,,"",,,,,,门禁持久化——gate_persistence 漂移预算门禁。,,,,,design,2026-05-15,0
238068,69,55,runtime,upstream,hard,,,"",,,,,,AiAuditLogger + AbstractLock 共享基础设施。,,,,,design,2026-05-15,0
238069,69,42,runtime,upstream,hard,,,"",,,,,,基线+漂移结果持久化——drift_events DB + baseline JSON。,,,,,design,2026-05-15,0
238078,70,71,contract,upstream,hard,,,"",,,,,,退出码约定 0/1/2/3/4 + Finding Schema + manifest 注册契约——dedup gate 消费 script-system 定义。,,,,,design,2026-05-05,0
238079,70,45,runtime,upstream,hard,,,"",,,,,,GATE-DEDUP pre-commit 门禁判定逻辑——Wave 1 即落地 gate-engine 框架。,,,,,design,2026-05-05,0
238080,70,40,contract,upstream,hard,,,"",,,,,,生成时注入共享API影子清单——防重第一道防线 + 消费验证回环。,,,,,design,2026-05-05,0
238081,70,43,runtime,upstream,hard,,,"",,,,,,重复模式→FLE→evolve()→EvolutionProposal 进化闭环——微观克隆检测结果驱动 FLE 自我演化。,,,,,design,2026-05-05,0
238082,70,55,contract,upstream,hard,,,"",,,,,,SSoT Guard + shared 目录结构——去重后的组件提取目标目录。,,,,,design,2026-05-05,0
238083,70,42,data,upstream,hard,,,"",,,,,,发现的重复模式/健忘热点→KB 持久化→未来 AI session 主动查阅——KB 索引双分配存储。,,,,,design,2026-05-05,0
238084,52,45,runtime,upstream,hard,,,"",,,,,,蓝方防御判定依赖 Gate Engine 执行门禁检查——红方注入后验证 Gate 是否拦截。,,,,,design,2026-05-08,0
238086,52,54,runtime,upstream,hard,,,"",,,,,,规则漂移攻击场景的检测器——RB-003/RB-020 依赖语义审计能力。,,,,,design,2026-05-08,0
238087,52,70,runtime,upstream,hard,,,"",,,,,,重复注入场景的检测器——RB-004 依赖去重引擎能力。,,,,,design,2026-05-08,0
