edge_id,from_node_id,to_node_id,dep_type,architecture_direction,coupling_strength,used_symbol,invocation_method,api_contract_refs,event_ref,ddd_integration_pattern,failure_mode,fallback,activation_condition,data_transfer_description,resource_impact,relationship_type,cross_domain,verified,dep_maturity,valid_since,is_legal_cycle
552644,475126,470295,import_depends,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
552645,475127,475126,import,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
552646,311219,475127,import,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
359316,311196,311195,import_depends,downstream,required,Portfolio,direct,,,,runtime_error,no_fallback,always,,low,,0,0,design,,0
359317,311195,311193,import_depends,downstream,required,DataHandler,direct,,,,runtime_error,no_fallback,always,,low,,0,0,design,,0
552977,311219,475128,import_depends,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
552978,311220,475128,import_depends,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
552979,311221,475128,import_depends,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
552980,311222,475128,import_depends,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
552981,311223,475128,import_depends,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
553202,470405,471303,runtime,upstream,hard,,,cross_layer_contracts.yaml §CL-002,,,,,,"EventBus 容量上限需 capacity-assurance 定义的 SLI/SLO；无容量模型时队列可能无限堆积。
",,,,,design,2026-05-01,0
553203,470458,471303,runtime,upstream,hard,,,cross_layer_contracts.yaml §CL-004,,,,,,"G0-G6 门禁超时阈值依赖容量模型；容量不足时需自动升高超时阈值。
",,,,,design,2026-05-01,0
553204,470458,470405,runtime,upstream,hard,,,domain_events.yaml §EVT-TASK-001,,,,,,"任务卡状态变更经 RI-01 EventBus 发布 domain event，下游脚本/通知消费。
",,,,,design,2026-05-01,0
553205,470458,71,contract,upstream,hard,,,architecture_contract.yaml §VR-005,,,,,,"双轨审查阶段须消费 script-system 定义的 Finding Schema；审计维度须对齐。
",,,,,design,2026-05-02,0
553206,470458,471303,runtime,upstream,hard,,,cross_layer_contracts.yaml §CL-017,,,,,,"ContextBudgetTracker 的 token 配额依赖容量模型的阈值；接近预算时需触发压缩或降级。
",,,,,design,2026-05-01,0
553207,470458,472016,runtime,upstream,hard,,,"",,,,,,"任务系统10状态/19转换的状态机校验委托 MOD-INF-038 StateMachine[TaskStatus] 基类。
",,,,,design,2026-05-16,0
553208,71,471303,runtime,upstream,hard,,,"",,,,,,"script-system 的全量扫描依赖 capacity-assurance 的 SLI/SLO 阈值。
",,,,,design,2026-05-06,0
553209,71,470458,runtime,upstream,hard,,,"",,,,,,"script-system 的 Finding Schema 被 task-system 消费；审计维度须对齐。
",,,,,design,2026-05-06,0
553210,43,472214,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.collectors,,,,,design,2026-05-08,0
553211,43,471707,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.detectors,,,,,design,2026-05-08,0
553212,43,472294,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.diagnosers,,,,,design,2026-05-08,0
553213,43,472208,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.actors,,,,,design,2026-05-08,0
553214,43,471753,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.verifiers,,,,,design,2026-05-08,0
553215,43,472390,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.evolution,,,,,design,2026-05-08,0
553216,43,472409,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.forensic,,,,,design,2026-05-08,0
553217,43,470513,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.resilience,,,,,design,2026-05-08,0
553218,43,470320,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.security,,,,,design,2026-05-08,0
553219,43,470668,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.gates,,,,,design,2026-05-08,0
553220,43,472024,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.protocols,,,,,design,2026-05-08,0
553221,58,470326,contract,upstream,hard,,,MOD-GOVERNANCE G-CT-002,,,,,,回滚操作写入 Audit Trail（ProvenanceStandard + HMAC-SHA256 签名），G-CT-002 契约锚定。,,,,,design,2026-05-05,0
553222,58,471718,runtime,upstream,hard,,,"",,,,,,auto_guard 后验失败触发自动回滚——失败信号来源为 Agent RBAC 的后验守卫。,,,,,design,2026-05-05,0
553223,58,45,runtime,upstream,hard,,,"",,,,,,回滚后跑 G0 门禁验证——Gate Engine 提供门禁执行能力。,,,,,design,2026-05-05,0
553224,58,90,contract,upstream,hard,,,MOD-INF-021 §9 CT-RBK-GATE-001,,,,,,CT-RBK-GATE-001 集成契约——48 exit code 映射到 Gate/Pipeline/Orchestrator。,,,,,design,2026-05-05,0
553225,470404,58,contract,downstream,soft,,,MOD-GOVERNANCE G-CT-003,,,,,,回滚失败结果进入 Escalation——G-CT-003 契约锚定。,,,,,design,2026-05-05,0
553226,69,58,runtime,downstream,hard,,,MOD-GOVERNANCE G-CT-005,,,,,,漂移检测触发回滚——DriftEvent → RollbackExecutor 消费，G-CT-005 契约锚定。,,,,,design,2026-05-05,0
553227,69,470404,runtime,downstream,hard,,,MOD-GOVERNANCE G-CT-006,,,,,,漂移预算耗尽触发升级——G-CT-006 契约锚定。,,,,,design,2026-05-15,0
553228,69,470326,runtime,downstream,hard,,,"",,,,,,漂移事件审计写入——tamper_proof_audit 使用 AiAuditLogger。,,,,,design,2026-05-15,0
553229,69,471718,runtime,downstream,hard,,,"",,,,,,检测器权限控制——detector_dispatcher 权限检查。,,,,,design,2026-05-15,0
553230,69,45,runtime,downstream,hard,,,"",,,,,,门禁持久化——gate_persistence 漂移预算门禁。,,,,,design,2026-05-15,0
553231,69,55,runtime,upstream,hard,,,"",,,,,,AiAuditLogger + AbstractLock 共享基础设施。,,,,,design,2026-05-15,0
553232,69,42,runtime,upstream,hard,,,"",,,,,,基线+漂移结果持久化——drift_events DB + baseline JSON。,,,,,design,2026-05-15,0
553233,470326,42,runtime,upstream,hard,,,"",,,,,,审计事件 JSONL → SQLite 派生索引——查询加速与 BatchOrchestrator 消费。,,,,,design,2026-05-08,0
553234,470326,45,runtime,upstream,hard,,,MOD-GOVERNANCE G-CT-006,,,,,,Gate Audit Trail 检查——门禁决策写入审计日志，实时阻断联动。,,,,,design,2026-05-08,0
553235,470326,55,contract,upstream,hard,,,"",,,,,,AuditEventType 枚举与 Task Schema 共享类型——EventType 枚举 + 韧性基座。,,,,,design,2026-05-08,0
553236,470326,69,runtime,peer,hard,,,MOD-GOVERNANCE G-CT-007,,,,,,审计追踪链 ↔ 漂移检测器双向桥接——DriftEvent 触发审计异常签名 + 审计对账。,,,,,design,2026-05-08,0
553237,473382,42,data,upstream,hard,,,"",,,,,,olap_engine 持久化 FLE 时序分析结果——遥测数据存储后端。,,,,,design,2026-05-03,0
553238,473382,59,runtime,peer,hard,,,"",,,,,,遥测成本 metrics 聚合到 Budget Enforcer 预算追踪三级管道。实际方向为 peer——budget_engine import system_telemetry(_budget_telemetry_bridge.py 解耦)。,,,,,design,2026-05-03,0
553239,473382,470404,runtime,upstream,hard,,,"",,,,,,告警经 Escalation Protocol 升级到人工处理——4 级递进 + 死锁保护。,,,,,design,2026-05-03,0
553240,473382,471718,contract,upstream,hard,,,MOD-INF-018 §5 CT-OBS-TELEM-001,,,,,,L6 Observability 以 Telemetry 为数据后端——ObservabilityManager 依赖 telemetry facade 的三副本 metric 聚合。,,,,,design,2026-05-03,0
553241,70,71,contract,upstream,hard,,,"",,,,,,退出码约定 0/1/2/3/4 + Finding Schema + manifest 注册契约——dedup gate 消费 script-system 定义。,,,,,design,2026-05-05,0
553242,70,45,runtime,upstream,hard,,,"",,,,,,GATE-DEDUP pre-commit 门禁判定逻辑——Wave 1 即落地 gate-engine 框架。,,,,,design,2026-05-05,0
553243,70,40,contract,upstream,hard,,,"",,,,,,生成时注入共享API影子清单——防重第一道防线 + 消费验证回环。,,,,,design,2026-05-05,0
553244,70,43,runtime,upstream,hard,,,"",,,,,,重复模式→FLE→evolve()→EvolutionProposal 进化闭环——微观克隆检测结果驱动 FLE 自我演化。,,,,,design,2026-05-05,0
553245,70,55,contract,upstream,hard,,,"",,,,,,SSoT Guard + shared 目录结构——去重后的组件提取目标目录。,,,,,design,2026-05-05,0
553246,70,42,data,upstream,hard,,,"",,,,,,发现的重复模式/健忘热点→KB 持久化→未来 AI session 主动查阅——KB 索引双分配存储。,,,,,design,2026-05-05,0
553247,52,45,runtime,upstream,hard,,,"",,,,,,蓝方防御判定依赖 Gate Engine 执行门禁检查——红方注入后验证 Gate 是否拦截。,,,,,design,2026-05-08,0
553248,52,470326,contract,upstream,hard,,,MOD-INF-030 §0 G-CT-018,,,,,,每次攻击和防御结果 MUST 记录不可变日志——G-CT-018 契约锚点。,,,,,design,2026-05-08,0
553249,52,54,runtime,upstream,hard,,,"",,,,,,规则漂移攻击场景的检测器——RB-003/RB-020 依赖语义审计能力。,,,,,design,2026-05-08,0
553250,52,70,runtime,upstream,hard,,,"",,,,,,重复注入场景的检测器——RB-004 依赖去重引擎能力。,,,,,design,2026-05-08,0
553251,52,471718,contract,upstream,hard,,,MOD-INF-030 §0 G-CT-001,,,,,,攻击注入操作需要 RBAC 权限校验与身份验证——G-CT-001 契约锚点。,,,,,design,2026-05-08,0
553252,52,69,runtime,upstream,medium,,,MOD-INF-030 §0 G-CT-023,,,,,,攻击场景基线快照与漂移对比——G-CT-023 契约锚点。,,,,,design,2026-05-08,0
553253,52,470404,runtime,upstream,medium,,,MOD-INF-030 §0 G-CT-022,,,,,,重复绕过触发升级裁决——G-CT-022 契约锚点。,,,,,design,2026-05-08,0
553254,36,52,runtime,downstream,hard,,,"",,,,,,AuditOrchestrator Phase 5 红白对抗阶段委托 RedBlueValidator 执行。,,,,,design,2026-05-08,0
553255,52,50,runtime,upstream,medium,,,"",,,,,,红方可能利用孤儿判定边界制造绕过——RB-002 场景依赖孤儿判定能力。,,,,,design,2026-05-08,0
553256,52,38,runtime,upstream,medium,,,"",,,,,,绕过发现后的修复执行——自愈反馈闭环依赖 AutoFix Engine。,,,,,design,2026-05-08,0
553257,52,471799,contract,upstream,hard,,,"",,,,,,AI 生成攻击场景的安全约束——Tier 5 攻击生成依赖 LLM Security。,,,,,design,2026-05-08,0
553258,52,471445,runtime,upstream,medium,,,"",,,,,,governance.red_blue_scan MCP 端点注册——MCP 集成依赖。,,,,,design,2026-05-08,0
553259,52,59,data,upstream,medium,,,MOD-INF-030 §0 G-CT-024,,,,,,绕过模式知识条目存储与检索——G-CT-024 契约锚点。,,,,,design,2026-05-08,0
553260,53,55,runtime,upstream,hard,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §5,,,,,,资源优化引擎依赖 shared-core 的 DaemonRegistry/EventBus/ContractBus/API_INDEX 基础设施。,,,,,design,2026-05-08,0
553261,53,473382,runtime,upstream,hard,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §15.5,,,,,,资源优化引擎依赖 system-telemetry 上报 SLI 指标和健康探针。,,,,,design,2026-05-08,0
553262,53,51,runtime,upstream,hard,,,"",,,,,,资源优化引擎依赖 pipeline 的 pipeline_lock 和 orchestration 协调。,,,,,design,2026-05-08,0
553263,53,43,runtime,upstream,hard,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §7.1,,,,,,资源优化引擎将 FLE-Scheduler 注册为守护线程，接收资源异常检测器。,,,,,design,2026-05-08,0
553264,53,45,contract,upstream,soft,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §15.4,,,,,,资源优化引擎注册 G-RES 资源检查门禁规则，资源不足时门禁阻断。,,,,,design,2026-05-08,0
553265,53,470326,contract,upstream,soft,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §15.2 CT-ROE-002,,,,,,优化动作审计记录——每个优化动作写入 Audit Trail。,,,,,design,2026-05-08,0
553266,53,69,runtime,upstream,soft,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §15.2 CT-ROE-006,,,,,,资源配置漂移检测——阈值被篡改时触发漂移告警。,,,,,design,2026-05-08,0
553267,53,59,runtime,peer,soft,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §15.2 CT-ROE-003,,,,,,资源成本预算联动——资源超支时触发预算降级。,,,,,design,2026-05-08,0
553268,53,470172,contract,upstream,soft,,,"",,,,,,技能注册——SKILL-DOM-ROE-001 注册到 agent-spec 技能注册表。,,,,,design,2026-05-08,0
553269,53,471445,contract,upstream,soft,,,"",,,,,,MCP 工具暴露——6 个资源优化 MCP 工具注册到 MCP Gateway。,,,,,design,2026-05-08,0
