relative_path,action
docs/02_enterprise_architecture/architecture_diagram_construction_plan.md,move
docs/02_enterprise_architecture/phase_d_full_test_construction_plan.md,move
docs/02_enterprise_architecture/03_governance_reports/blueprint_placement_violations_root_cause_report.md,move
docs/02_enterprise_architecture/03_governance_reports/capacity_report.md,move
docs/02_enterprise_architecture/03_governance_reports/constraint_violations.md,move
docs/02_enterprise_architecture/03_governance_reports/design_vs_production.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_plan.md,move
docs/02_enterprise_architecture/03_governance_reports/d_signal_rename_blocker_adjudication.md,move
docs/02_enterprise_architecture/03_governance_reports/d_signal_rename_plan.md,move
docs/02_enterprise_architecture/03_governance_reports/index.md,move
docs/02_enterprise_architecture/03_governance_reports/module_id_numeric_sequence_governance_report.md,move
docs/02_enterprise_architecture/03_governance_reports/orphan_cleanup_audit.md,move
docs/02_enterprise_architecture/03_governance_reports/preexisting_db_issues_investigation_report.md,move
docs/02_enterprise_architecture/03_governance_reports/schema_health_continuation_plan.md,move
docs/02_enterprise_architecture/03_governance_reports/schema_health_revised_execution_plan.md,move
docs/02_enterprise_architecture/03_governance_reports/schema_health_root_cure_plan.md,move
docs/02_enterprise_architecture/03_governance_reports/vocabulary_sync_chain_repair_plan.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/handoff_instruction.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/index.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062621.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062622.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062623.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062624.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062625.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062626.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062627.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062628.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062629.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062630.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062631.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062632.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062633.md,move
docs/02_enterprise_architecture/03_governance_reports/domain_id_hyphen_rename_taskcards/task-ops-2026062634.md,move
docs/02_enterprise_architecture/architecture_upgrade_discussion.md,move
docs/03_modules/content_layering_task_cards.md,move
docs/decomposition/index.md,update_ttl_only
docs/02_enterprise_architecture/target_architecture/revision_history.md,update_ttl_only
docs/02_enterprise_architecture/_archive/architecture_decisions_pending.md,update_ttl_only
docs/02_enterprise_architecture/_archive/phase4b_cleanup_construction_plan.md,update_ttl_only
docs/03_modules/infrastructure_runtime_integration/script_system/changes/mod_inf_005/TASK-OPS-2026062103.md,update_ttl_only
docs/03_modules/infrastructure_runtime_integration/script_system/changes/mod_inf_005/TASK-OPS-2026062104.md,update_ttl_only
docs/03_modules/infrastructure_runtime_integration/script_system/changes/mod_inf_005/TASK-OPS-2026062105.md,update_ttl_only
docs/03_modules/infrastructure_runtime_integration/script_system/changes/mod_inf_005/TASK-OPS-2026062106.md,update_ttl_only
docs/03_modules/infrastructure_runtime_integration/script_system/changes/mod_inf_005/TASK-OPS-2026062107.md,update_ttl_only
docs/03_modules/infrastructure_runtime_integration/script_system/changes/mod_inf_005/TASK-OPS-2026062108.md,update_ttl_only
docs/03_modules/infrastructure_runtime_integration/script_system/changes/mod_inf_005/TASK-OPS-2026062109.md,update_ttl_only
docs/03_modules/infrastructure_runtime_integration/script_system/changes/mod_inf_005/TASK-OPS-2026062501.md,update_ttl_only
