edge_id,from_node_id,to_node_id,dep_type,architecture_direction,coupling_strength,used_symbol,invocation_method,api_contract_refs,event_ref,ddd_integration_pattern,failure_mode,fallback,activation_condition,data_transfer_description,resource_impact,relationship_type,cross_domain,verified,dep_maturity,valid_since,is_legal_cycle
611167,58,45,runtime,upstream,hard,,,"",,,,,,回滚后跑 G0 门禁验证——Gate Engine 提供门禁执行能力。,,,,,design,2026-05-05,0
611168,58,90,contract,upstream,hard,,,MOD-INF-021 §9 CT-RBK-GATE-001,,,,,,CT-RBK-GATE-001 集成契约——48 exit code 映射到 Gate/Pipeline/Orchestrator。,,,,,design,2026-05-05,0
611170,69,58,runtime,downstream,hard,,,MOD-GOVERNANCE G-CT-005,,,,,,漂移检测触发回滚——DriftEvent → RollbackExecutor 消费，G-CT-005 契约锚定。,,,,,design,2026-05-05,0
611174,69,45,runtime,downstream,hard,,,"",,,,,,门禁持久化——gate_persistence 漂移预算门禁。,,,,,design,2026-05-15,0
611175,69,55,runtime,upstream,hard,,,"",,,,,,AiAuditLogger + AbstractLock 共享基础设施。,,,,,design,2026-05-15,0
611176,69,42,runtime,upstream,hard,,,"",,,,,,基线+漂移结果持久化——drift_events DB + baseline JSON。,,,,,design,2026-05-15,0
552645,475127,475126,import,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
611185,70,71,contract,upstream,hard,,,"",,,,,,退出码约定 0/1/2/3/4 + Finding Schema + manifest 注册契约——dedup gate 消费 script-system 定义。,,,,,design,2026-05-05,0
611186,70,45,runtime,upstream,hard,,,"",,,,,,GATE-DEDUP pre-commit 门禁判定逻辑——Wave 1 即落地 gate-engine 框架。,,,,,design,2026-05-05,0
611187,70,40,contract,upstream,hard,,,"",,,,,,生成时注入共享API影子清单——防重第一道防线 + 消费验证回环。,,,,,design,2026-05-05,0
611188,70,43,runtime,upstream,hard,,,"",,,,,,重复模式→FLE→evolve()→EvolutionProposal 进化闭环——微观克隆检测结果驱动 FLE 自我演化。,,,,,design,2026-05-05,0
611189,70,55,contract,upstream,hard,,,"",,,,,,SSoT Guard + shared 目录结构——去重后的组件提取目标目录。,,,,,design,2026-05-05,0
611190,70,42,data,upstream,hard,,,"",,,,,,发现的重复模式/健忘热点→KB 持久化→未来 AI session 主动查阅——KB 索引双分配存储。,,,,,design,2026-05-05,0
611191,52,45,runtime,upstream,hard,,,"",,,,,,蓝方防御判定依赖 Gate Engine 执行门禁检查——红方注入后验证 Gate 是否拦截。,,,,,design,2026-05-08,0
611193,52,54,runtime,upstream,hard,,,"",,,,,,规则漂移攻击场景的检测器——RB-003/RB-020 依赖语义审计能力。,,,,,design,2026-05-08,0
611194,52,70,runtime,upstream,hard,,,"",,,,,,重复注入场景的检测器——RB-004 依赖去重引擎能力。,,,,,design,2026-05-08,0
611196,52,69,runtime,upstream,medium,,,MOD-INF-030 §0 G-CT-023,,,,,,攻击场景基线快照与漂移对比——G-CT-023 契约锚点。,,,,,design,2026-05-08,0
611198,36,52,runtime,downstream,hard,,,"",,,,,,AuditOrchestrator Phase 5 红白对抗阶段委托 RedBlueValidator 执行。,,,,,design,2026-05-08,0
611199,52,50,runtime,upstream,medium,,,"",,,,,,红方可能利用孤儿判定边界制造绕过——RB-002 场景依赖孤儿判定能力。,,,,,design,2026-05-08,0
611200,52,38,runtime,upstream,medium,,,"",,,,,,绕过发现后的修复执行——自愈反馈闭环依赖 AutoFix Engine。,,,,,design,2026-05-08,0
552646,311219,475127,import,downstream,medium,"",direct,"","","",runtime_error,no_fallback,always,"",low,"",0,0,design,,0
611203,52,59,data,upstream,medium,,,MOD-INF-030 §0 G-CT-024,,,,,,绕过模式知识条目存储与检索——G-CT-024 契约锚点。,,,,,design,2026-05-08,0
611204,53,55,runtime,upstream,hard,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §5,,,,,,资源优化引擎依赖 shared-core 的 DaemonRegistry/EventBus/ContractBus/API_INDEX 基础设施。,,,,,design,2026-05-08,0
611206,53,51,runtime,upstream,hard,,,"",,,,,,资源优化引擎依赖 pipeline 的 pipeline_lock 和 orchestration 协调。,,,,,design,2026-05-08,0
611207,53,43,runtime,upstream,hard,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §7.1,,,,,,资源优化引擎将 FLE-Scheduler 注册为守护线程，接收资源异常检测器。,,,,,design,2026-05-08,0
611208,53,45,contract,upstream,soft,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §15.4,,,,,,资源优化引擎注册 G-RES 资源检查门禁规则，资源不足时门禁阻断。,,,,,design,2026-05-08,0
611210,53,69,runtime,upstream,soft,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §15.2 CT-ROE-006,,,,,,资源配置漂移检测——阈值被篡改时触发漂移告警。,,,,,design,2026-05-08,0
611211,53,59,runtime,peer,soft,,,MOD-RESOURCE_OPTIMIZATION_ENGINE §15.2 CT-ROE-003,,,,,,资源成本预算联动——资源超支时触发预算降级。,,,,,design,2026-05-08,0
611217,59,55,data,upstream,hard,,,"",,,,,,全局成本汇聚 + 语义缓存重导出,,,,,design,2026-05-15,0
