snapshot_date,universe_rank,symbol,quote_volume_usdt,source
2026-09-11,1,ETHUSDT,1548477007.77,binance_vision
2026-09-11,2,BTCUSDT,1480639160.63,binance_vision
2026-09-11,3,ZECUSDT,438750593.13,binance_vision
2026-09-11,4,SOLUSDT,319978641.21,binance_vision
2026-09-11,5,XRPUSDT,224204040.06,binance_vision
2026-09-11,6,BNBUSDT,124967938.60,binance_vision
2026-09-11,7,RLUSDUSDT,117721982.35,binance_vision
2026-09-11,8,HOLOUSDT,103215237.02,binance_vision
2026-09-11,9,NEARUSDT,99256114.71,binance_vision
2026-09-11,10,牛来USDT,88151452.02,binance_vision
2026-09-11,11,SAHARAUSDT,83752934.69,binance_vision
2026-09-11,12,SUIUSDT,72584062.03,binance_vision
2026-09-11,13,DOGEUSDT,60465945.92,binance_vision
2026-09-11,14,UNIUSDT,58020018.13,binance_vision
2026-09-11,15,ENAUSDT,53337073.69,binance_vision
2026-09-11,16,ADAUSDT,47235640.57,binance_vision
2026-09-11,17,LINKUSDT,40020203.73,binance_vision
2026-09-11,18,TRXUSDT,37936322.42,binance_vision
2026-09-11,19,MARSCOINUSDT,33702419.59,binance_vision
2026-09-11,20,PEPEUSDT,33114676.16,binance_vision
2026-09-11,21,PUMPUSDT,31747304.96,binance_vision
2026-09-11,22,TAOUSDT,30037290.58,binance_vision
2026-09-11,23,RAYUSDT,28617460.03,binance_vision
2026-09-11,24,AVAXUSDT,28103783.03,binance_vision
2026-09-11,25,ARBUSDT,22338182.79,binance_vision
2026-09-11,26,WLDUSDT,22174202.36,binance_vision
2026-09-11,27,UUSDT,21684078.58,binance_vision
2026-09-11,28,XAUTUSDT,18474369.43,binance_vision
2026-09-11,29,DASHUSDT,18241371.38,binance_vision
2026-09-11,30,WLFIUSDT,17925944.73,binance_vision
2026-09-11,31,BCHUSDT,17610091.26,binance_vision
2026-09-11,32,LTCUSDT,17313301.55,binance_vision
2026-09-11,33,SNDKBUSDT,17059214.50,binance_vision
2026-09-11,34,ASTERUSDT,16817039.30,binance_vision
2026-09-11,35,PAXGUSDT,16655802.42,binance_vision
2026-09-11,36,CRCLBUSDT,16600072.80,binance_vision
2026-09-11,37,ETHFIUSDT,16435215.81,binance_vision
2026-09-11,38,METUSDT,16424109.78,binance_vision
2026-09-11,39,XLMUSDT,15150287.57,binance_vision
2026-09-11,40,EURUSDT,15094858.51,binance_vision
2026-09-11,41,DOTUSDT,15019366.04,binance_vision
2026-09-11,42,TRUMPUSDT,13930784.82,binance_vision
2026-09-11,43,AAVEUSDT,12855606.95,binance_vision
2026-09-11,44,SPCXBUSDT,12025911.07,binance_vision
2026-09-11,45,SOPHUSDT,11139509.67,binance_vision
2026-09-11,46,THEUSDT,10764097.71,binance_vision
2026-09-11,47,NVDABUSDT,10569685.24,binance_vision
2026-09-11,48,POLUSDT,10485641.72,binance_vision
2026-09-11,49,XPLUSDT,10213388.07,binance_vision
2026-09-11,50,VTHOUSDT,10093824.68,binance_vision
2026-09-11,1,ETHUSDT,1548861577.83,binance_vision
2026-09-11,2,BTCUSDT,1480761718.87,binance_vision
2026-09-11,3,ZECUSDT,439056163.66,binance_vision
2026-09-11,4,SOLUSDT,320170226.49,binance_vision
2026-09-11,5,XRPUSDT,224235179.73,binance_vision
2026-09-11,6,BNBUSDT,124901714.85,binance_vision
2026-09-11,7,HOLOUSDT,103216844.47,binance_vision
2026-09-11,8,NEARUSDT,99246426.62,binance_vision
2026-09-11,9,牛来USDT,88218053.18,binance_vision
2026-09-11,10,SAHARAUSDT,83611877.21,binance_vision
2026-09-11,11,SUIUSDT,72605586.57,binance_vision
2026-09-11,12,DOGEUSDT,60475643.57,binance_vision
2026-09-11,13,UNIUSDT,57947611.29,binance_vision
2026-09-11,14,ENAUSDT,53335008.64,binance_vision
2026-09-11,15,ADAUSDT,47236060.24,binance_vision
2026-09-11,16,LINKUSDT,40018776.02,binance_vision
2026-09-11,17,TRXUSDT,38189813.58,binance_vision
2026-09-11,18,MARSCOINUSDT,33668542.94,binance_vision
2026-09-11,19,PEPEUSDT,33116577.68,binance_vision
2026-09-11,20,PUMPUSDT,31728478.61,binance_vision
2026-09-11,21,TAOUSDT,30034061.82,binance_vision
2026-09-11,22,RAYUSDT,28566263.29,binance_vision
2026-09-11,23,AVAXUSDT,28098516.23,binance_vision
2026-09-11,24,ARBUSDT,22354983.66,binance_vision
2026-09-11,25,WLDUSDT,22178624.72,binance_vision
2026-09-11,26,UUSDT,21673527.52,binance_vision
2026-09-11,27,XAUTUSDT,18474369.43,binance_vision
2026-09-11,28,DASHUSDT,18238215.13,binance_vision
2026-09-11,29,WLFIUSDT,17928994.22,binance_vision
2026-09-11,30,BCHUSDT,17603159.75,binance_vision
2026-09-11,31,LTCUSDT,17311316.99,binance_vision
2026-09-11,32,SNDKBUSDT,17058452.11,binance_vision
2026-09-11,33,ASTERUSDT,16823109.18,binance_vision
2026-09-11,34,PAXGUSDT,16650569.79,binance_vision
2026-09-11,35,CRCLBUSDT,16601497.53,binance_vision
2026-09-11,36,ETHFIUSDT,16438789.13,binance_vision
2026-09-11,37,METUSDT,16424299.35,binance_vision
2026-09-11,38,XLMUSDT,15145539.66,binance_vision
2026-09-11,39,EURUSDT,15091646.85,binance_vision
2026-09-11,40,DOTUSDT,15006692.93,binance_vision
2026-09-11,41,TRUMPUSDT,13934325.30,binance_vision
2026-09-11,42,AAVEUSDT,12856607.70,binance_vision
2026-09-11,43,SPCXBUSDT,12020509.58,binance_vision
2026-09-11,44,SOPHUSDT,11154870.61,binance_vision
2026-09-11,45,THEUSDT,10772597.20,binance_vision
2026-09-11,46,NVDABUSDT,10572399.35,binance_vision
2026-09-11,47,POLUSDT,10486303.23,binance_vision
2026-09-11,48,XPLUSDT,10218396.55,binance_vision
2026-09-11,49,VTHOUSDT,10163204.57,binance_vision
2026-09-11,50,ONDOUSDT,9804815.06,binance_vision
2026-09-11,1,ETHUSDT,1548921749.06,binance_vision
2026-09-11,2,BTCUSDT,1480756317.49,binance_vision
2026-09-11,3,ZECUSDT,439382669.47,binance_vision
2026-09-11,4,SOLUSDT,320173990.86,binance_vision
2026-09-11,5,XRPUSDT,224335586.13,binance_vision
2026-09-11,6,BNBUSDT,124957361.55,binance_vision
2026-09-11,7,HOLOUSDT,103182792.72,binance_vision
2026-09-11,8,NEARUSDT,99239521.58,binance_vision
2026-09-11,9,牛来USDT,88235482.30,binance_vision
2026-09-11,10,SAHARAUSDT,83550992.71,binance_vision
2026-09-11,11,SUIUSDT,72607544.96,binance_vision
2026-09-11,12,DOGEUSDT,60491845.44,binance_vision
2026-09-11,13,UNIUSDT,58001725.43,binance_vision
2026-09-11,14,ENAUSDT,53339308.25,binance_vision
2026-09-11,15,ADAUSDT,47235455.56,binance_vision
2026-09-11,16,LINKUSDT,40008980.56,binance_vision
2026-09-11,17,TRXUSDT,38258786.03,binance_vision
2026-09-11,18,MARSCOINUSDT,33669073.76,binance_vision
2026-09-11,19,PEPEUSDT,33115241.05,binance_vision
2026-09-11,20,PUMPUSDT,31732346.52,binance_vision
2026-09-11,21,TAOUSDT,30039765.14,binance_vision
2026-09-11,22,RAYUSDT,28540183.69,binance_vision
2026-09-11,23,AVAXUSDT,28105053.82,binance_vision
2026-09-11,24,ARBUSDT,22357486.31,binance_vision
2026-09-11,25,WLDUSDT,22192457.71,binance_vision
2026-09-11,26,UUSDT,21674148.30,binance_vision
2026-09-11,27,XAUTUSDT,18434731.27,binance_vision
2026-09-11,28,DASHUSDT,18238994.64,binance_vision
2026-09-11,29,WLFIUSDT,17931734.70,binance_vision
2026-09-11,30,BCHUSDT,17603088.77,binance_vision
2026-09-11,31,LTCUSDT,17312062.44,binance_vision
2026-09-11,32,SNDKBUSDT,17058445.54,binance_vision
2026-09-11,33,ASTERUSDT,16823032.09,binance_vision
2026-09-11,34,PAXGUSDT,16638003.87,binance_vision
2026-09-11,35,CRCLBUSDT,16601590.28,binance_vision
2026-09-11,36,ETHFIUSDT,16439106.83,binance_vision
