edge_id,from_node_id,to_node_id,dep_type,architecture_direction,coupling_strength,used_symbol,invocation_method,api_contract_refs,event_ref,ddd_integration_pattern,failure_mode,fallback,activation_condition,data_transfer_description,resource_impact,relationship_type,cross_domain,verified,dep_maturity,valid_since,is_legal_cycle
501022,425701,426599,runtime,upstream,hard,,,cross_layer_contracts.yaml §CL-002,,,,,,"EventBus 容量上限需 capacity-assurance 定义的 SLI/SLO；无容量模型时队列可能无限堆积。
",,,,,design,2026-05-01,0
501023,425757,426599,runtime,upstream,hard,,,cross_layer_contracts.yaml §CL-004,,,,,,"G0-G6 门禁超时阈值依赖容量模型；容量不足时需自动升高超时阈值。
",,,,,design,2026-05-01,0
501024,425757,425701,runtime,upstream,hard,,,domain_events.yaml §EVT-TASK-001,,,,,,"任务卡状态变更经 RI-01 EventBus 发布 domain event，下游脚本/通知消费。
",,,,,design,2026-05-01,0
501025,425757,71,contract,upstream,hard,,,architecture_contract.yaml §VR-005,,,,,,"双轨审查阶段须消费 script-system 定义的 Finding Schema；审计维度须对齐。
",,,,,design,2026-05-02,0
501026,425757,426599,runtime,upstream,hard,,,cross_layer_contracts.yaml §CL-017,,,,,,"ContextBudgetTracker 的 token 配额依赖容量模型的阈值；接近预算时需触发压缩或降级。
",,,,,design,2026-05-01,0
501027,425757,427311,runtime,upstream,hard,,,"",,,,,,"任务系统10状态/19转换的状态机校验委托 MOD-INF-038 StateMachine[TaskStatus] 基类。
",,,,,design,2026-05-16,0
501028,71,426599,runtime,upstream,hard,,,"",,,,,,"script-system 的全量扫描依赖 capacity-assurance 的 SLI/SLO 阈值。
",,,,,design,2026-05-06,0
501029,71,425757,runtime,upstream,hard,,,"",,,,,,"script-system 的 Finding Schema 被 task-system 消费；审计维度须对齐。
",,,,,design,2026-05-06,0
501030,43,427508,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.collectors,,,,,design,2026-05-08,0
501031,43,427001,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.detectors,,,,,design,2026-05-08,0
501032,43,427591,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.diagnosers,,,,,design,2026-05-08,0
501033,43,427504,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.actors,,,,,design,2026-05-08,0
501034,43,427055,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.verifiers,,,,,design,2026-05-08,0
501035,43,427687,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.evolution,,,,,design,2026-05-08,0
501036,43,427706,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.forensic,,,,,design,2026-05-08,0
501037,43,425808,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.resilience,,,,,design,2026-05-08,0
501038,43,425616,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.security,,,,,design,2026-05-08,0
501039,43,425964,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.gates,,,,,design,2026-05-08,0
501040,43,427319,runtime,downstream,hard,,,"",,,,,,FLE scheduler imports from feedback-loop.protocols,,,,,design,2026-05-08,0
501041,58,425624,contract,upstream,hard,,,MOD-GOVERNANCE G-CT-002,,,,,,回滚操作写入 Audit Trail（ProvenanceStandard + HMAC-SHA256 签名），G-CT-002 契约锚定。,,,,,design,2026-05-05,0
501042,58,428471,runtime,upstream,hard,,,"",,,,,,auto_guard 后验失败触发自动回滚——失败信号来源为 Agent RBAC 的后验守卫。,,,,,design,2026-05-05,0
501043,58,45,runtime,upstream,hard,,,"",,,,,,回滚后跑 G0 门禁验证——Gate Engine 提供门禁执行能力。,,,,,design,2026-05-05,0
501044,58,90,contract,upstream,hard,,,MOD-INF-021 §9 CT-RBK-GATE-001,,,,,,CT-RBK-GATE-001 集成契约——48 exit code 映射到 Gate/Pipeline/Orchestrator。,,,,,design,2026-05-05,0
501045,425752,58,contract,downstream,soft,,,MOD-GOVERNANCE G-CT-003,,,,,,回滚失败结果进入 Escalation——G-CT-003 契约锚定。,,,,,design,2026-05-05,0
501046,69,58,runtime,downstream,hard,,,MOD-GOVERNANCE G-CT-005,,,,,,漂移检测触发回滚——DriftEvent → RollbackExecutor 消费，G-CT-005 契约锚定。,,,,,design,2026-05-05,0
501047,69,425752,runtime,downstream,hard,,,MOD-GOVERNANCE G-CT-006,,,,,,漂移预算耗尽触发升级——G-CT-006 契约锚定。,,,,,design,2026-05-15,0
501048,69,425624,runtime,downstream,hard,,,"",,,,,,漂移事件审计写入——tamper_proof_audit 使用 AiAuditLogger。,,,,,design,2026-05-15,0
501049,69,428471,runtime,downstream,hard,,,"",,,,,,检测器权限控制——detector_dispatcher 权限检查。,,,,,design,2026-05-15,0
